tag,type,referring,referred
01ZM,lemma,7,38
01ZN,lemma,3,4
01ZO,lemma,3,9
01ZP,lemma,3,8
01ZQ,lemma,4,5
01ZR,lemma,2,8
01ZT,lemma,8,2
01ZV,lemma,2,8
01ZX,lemma,3,2
01ZY,lemma,3,8
0200,lemma,16,9
0202,lemma,5,5
0205,lemma,9,2
0207,lemma,8,1
0208,lemma,6,1
020I,lemma,3,4
020J,lemma,2,1
020Q,lemma,1,2
020V,lemma,1,1
020W,lemma,3,1
020X,lemma,3,2
020Y,lemma,3,5
020Z,lemma,1,1
0210,lemma,5,1
0211,lemma,1,2
0216,lemma,1,2
021C,lemma,1,1
021D,lemma,1,2
021E,lemma,3,1
021F,lemma,3,5
021G,lemma,2,1
021H,lemma,5,1
021I,lemma,4,4
021K,lemma,2,1
021N,lemma,3,3
021O,lemma,4,1
021P,lemma,1,7
021U,lemma,1,1
021V,lemma,3,2
021W,lemma,4,2
0220,lemma,2,2
0222,lemma,1,6
0226,lemma,2,2
0228,lemma,1,6
022C,lemma,3,4
022D,lemma,3,5
022H,lemma,1,5
022J,lemma,2,1
022K,lemma,6,1
023E,lemma,2,1
023H,lemma,2,1
023L,lemma,3,1
023M,lemma,1,11
023N,proposition,4,4
023Q,lemma,6,9
023S,lemma,1,2
023T,proposition,6,11
023Y,lemma,1,3
0240,lemma,1,2
0241,lemma,5,2
0242,lemma,1,1
0243,lemma,1,2
0245,lemma,5,15
0247,lemma,7,4
024B,lemma,2,1
024C,lemma,2,1
024E,lemma,2,1
024G,lemma,2,1
024P,theorem,11,1
024T,proposition,3,6
024U,theorem,1,1
024V,proposition,3,4
025G,theorem,6,9
025H,theorem,2,2
025W,lemma,2,4
0262,lemma,2,17
0265,lemma,16,2
026G,lemma,3,4
02C3,lemma,1,1
02CE,proposition,2,7
02FL,lemma,2,3
02FM,lemma,2,6
02FQ,lemma,1,2
02FV,lemma,4,11
02FX,lemma,1,18
02FY,lemma,1,15
02FZ,lemma,1,9
02G0,lemma,2,1
02G1,lemma,3,6
02G5,lemma,1,8
02G6,lemma,3,3
02G7,lemma,4,2
02G8,lemma,2,5
02G9,lemma,3,2
02GA,lemma,3,7
02GC,lemma,2,3
02GE,lemma,2,13
02GF,lemma,9,7
02GG,lemma,3,1
02GJ,lemma,3,5
02GL,lemma,4,21
02GM,lemma,5,3
02GN,lemma,3,10
02GO,lemma,3,7
02GQ,lemma,1,1
02GS,lemma,2,12
02GT,lemma,1,4
02GU,lemma,4,4
02GV,lemma,2,11
02GW,lemma,1,7
02H3,lemma,2,2
02H4,lemma,3,3
02H5,lemma,2,2
02H6,lemma,18,3
02H9,lemma,5,6
02HC,lemma,1,3
02HD,lemma,3,1
02HE,lemma,2,6
02HK,lemma,1,1
02HL,lemma,3,1
02HM,lemma,7,3
02HO,lemma,2,1
02HQ,lemma,1,2
02HT,lemma,11,2
02HV,lemma,2,2
02HX,lemma,4,7
02I7,lemma,1,3
02IB,lemma,2,3
02IC,lemma,4,1
02IE,lemma,2,1
02IG,lemma,3,4
02IH,lemma,1,4
02IJ,lemma,3,6
02IL,lemma,7,5
02IM,lemma,4,5
02IP,lemma,3,2
02IT,lemma,3,8
02IX,lemma,2,2
02IZ,lemma,2,9
02J2,lemma,1,6
02J3,lemma,2,3
02J4,lemma,4,6
02J5,lemma,3,5
02J6,lemma,4,5
02J9,lemma,5,3
02JB,lemma,2,1
02JH,lemma,1,1
02JJ,lemma,1,11
02JN,lemma,1,6
02JO,lemma,8,16
02JP,lemma,6,1
02JQ,lemma,3,8
02JR,lemma,2,1
02JS,lemma,3,5
02JU,lemma,1,7
02JW,lemma,6,1
02JY,lemma,4,14
02JZ,lemma,4,14
02K0,lemma,2,1
02K1,lemma,2,1
02K3,lemma,6,1
02K4,lemma,2,3
02K5,lemma,5,2
02K6,lemma,2,2
02KB,lemma,3,19
02KG,lemma,2,8
02KH,lemma,4,35
02KI,lemma,1,3
02KK,lemma,4,6
02KL,lemma,3,5
02KM,lemma,4,5
02KP,lemma,10,14
02KQ,lemma,3,9
02KR,lemma,4,1
02KS,lemma,3,4
02KT,lemma,1,1
02KU,lemma,5,8
02KW,lemma,4,1
02KX,lemma,4,6
02KY,lemma,4,9
02KZ,lemma,2,1
02L0,lemma,3,1
02L2,lemma,3,12
02L3,lemma,4,6
02L4,lemma,2,6
02L5,lemma,9,5
02L6,lemma,3,5
02L7,lemma,7,3
02L8,lemma,7,1
02L9,lemma,3,2
02LA,lemma,3,9
02LC,lemma,6,2
02LF,lemma,1,4
02LK,lemma,1,7
02LL,lemma,1,3
02LM,lemma,7,2
02LN,lemma,4,6
02LO,lemma,3,4
02LP,lemma,1,3
02LR,lemma,3,9
02LS,lemma,9,9
02LX,lemma,3,14
02M0,lemma,3,8
02M1,lemma,1,8
02M2,lemma,1,1
02M6,lemma,3,2
02M8,lemma,1,1
02MA,lemma,4,6
02MC,lemma,2,4
02MJ,lemma,3,4
02ML,lemma,4,3
02MM,lemma,3,1
02MS,lemma,5,6
02N1,lemma,1,5
02N4,lemma,1,2
02N5,lemma,2,3
02N7,lemma,3,1
02ND,lemma,2,3
02NE,lemma,3,2
02NF,lemma,3,1
02NG,lemma,3,11
02NH,lemma,2,11
02NK,lemma,1,6
02NL,lemma,1,1
02NM,lemma,1,3
02NN,lemma,1,1
02NP,lemma,2,2
02NR,lemma,2,2
02NS,lemma,3,7
02NT,lemma,1,2
02NU,lemma,4,4
02NW,lemma,3,10
02NX,lemma,5,2
02NZ,lemma,1,1
02O0,lemma,2,4
02O1,lemma,3,6
02O4,lemma,8,2
02O5,proposition,10,8
02O6,lemma,4,8
02O8,lemma,1,2
02OA,lemma,1,1
02OB,lemma,2,3
02OC,theorem,2,4
02OD,lemma,4,4
02OE,lemma,5,2
02OG,lemma,9,3
02OH,lemma,5,7
02OK,lemma,3,6
02OL,lemma,2,3
02OM,lemma,2,2
02OO,lemma,3,4
02OS,lemma,6,10
02OU,lemma,2,3
02OV,lemma,4,2
02OW,lemma,6,2
02OZ,lemma,7,2
02P2,lemma,1,2
02P8,lemma,1,1
02P9,lemma,2,2
02PA,lemma,2,3
02PC,lemma,2,1
02PD,lemma,1,1
02PI,lemma,1,2
02PN,lemma,1,3
02PO,lemma,1,2
02PU,lemma,1,1
02PV,lemma,1,1
02PX,lemma,1,2
02Q0,lemma,2,2
02Q2,lemma,2,3
